Symbol;date time;open;high;low;close;close5;close10;close15;AC;AD;AO;ATR;BEP;BUP;DMK;FORCE;FRACTAL;ICHIMOKU;BWMFI;Momentum_GAP;MA;OsMA;MACD_GAP;OBV;SAR;RSI;RVI;STDDEV;Stochastic_GAP;WPR
EURUSD_15;2022.01.21 07:45;1.13274;1.13307;1.13274;1.13292;1.13259;1.13254;1.13274;0.00005;-1411867.43540;0.00082;0.00026;0.00016;0.00049;0.51695;0.00988;0.00000;1.13265;0.06420;-0.07690;14.29310;1.13204;-0.00001;0.00001;-122892.00000;1.13332;61.44209;0.09066;0.00020;-1.60021
EURUSD_15;2022.01.21 08:00;1.13290;1.13331;1.13239;1.13330;1.13252;1.13253;1.13286;0.00006;-1410871.56584;0.00085;0.00030;-0.00029;0.00063;0.52469;0.05638;0.00000;1.13278;0.09037;-0.06542;15.04396;1.13206;0.00001;0.00004;-121874.00000;1.13224;66.31445;0.13821;0.00030;1.83116
EURUSD_15;2022.01.21 08:15;1.13329;1.13366;1.13314;1.13347;1.13271;1.13245;1.13267;0.00010;-1410649.71968;0.00093;0.00032;0.00034;0.00086;0.61856;0.05514;1.13366;1.13296;0.06311;-0.05570;9.20000;1.13208;0.00004;0.00007;-121050.00000;1.13226;68.24755;0.19935;0.00038;3.89823
EURUSD_15;2022.01.21 08:30;1.13347;1.13357;1.13290;1.13313;1.13283;1.13230;1.13258;0.00010;-1410862.85401;0.00097;0.00036;0.00006;0.00073;0.55046;0.03086;0.00000;1.13296;0.09853;-0.02386;-7.60148;1.13211;0.00007;0.00006;-121730.00000;1.13232;60.73998;0.23780;0.00034;-4.63507
EURUSD_15;2022.01.21 08:45;1.13312;1.13320;1.13227;1.13287;1.13274;1.13238;1.13260;0.00002;-1410650.62820;0.00091;0.00041;-0.00058;0.00035;0.45455;0.01912;0.00000;1.13296;0.12722;0.08650;-7.57376;1.13214;0.00006;0.00003;-122461.00000;1.13366;55.69449;0.21566;0.00029;-14.61392
EURUSD_15;2022.01.21 09:00;1.13286;1.13366;1.13282;1.13332;1.13292;1.13259;1.13254;0.00000;-1410365.29487;0.00092;0.00045;-0.00010;0.00074;0.53548;0.10025;0.00000;1.13296;0.05607;0.03888;9.62788;1.13218;0.00003;0.00003;-120963.00000;1.13227;61.63458;0.17010;0.00029;-7.48488
EURUSD_15;2022.01.21 09:15;1.13329;1.13402;1.13308;1.13394;1.13330;1.13252;1.13253;0.00004;-1409312.29487;0.00099;0.00051;0.00002;0.00096;0.61585;0.16009;1.13402;1.13315;0.07407;0.04243;6.43551;1.13222;0.00003;0.00007;-119694.00000;1.13227;68.00026;0.16181;0.00037;8.66280
EURUSD_15;2022.01.21 09:30;1.13394;1.13399;1.13346;1.13357;1.13347;1.13271;1.13245;0.00003;-1409886.67223;0.00098;0.00053;0.00033;0.00086;0.61585;0.08989;0.00000;1.13315;0.05397;0.00707;-7.83455;1.13226;0.00007;0.00007;-120676.00000;1.13234;61.44778;0.17678;0.00037;10.70522
EURUSD_15;2022.01.21 09:45;1.13357;1.13387;1.13326;1.13357;1.13313;1.13283;1.13230;0.00002;-1409872.96731;0.00098;0.00056;0.00006;0.00067;0.56418;0.06302;0.00000;1.13315;0.07297;0.00530;-6.72968;1.13231;0.00007;0.00005;-120676.00000;1.13241;61.44778;0.17666;0.00035;2.38963
EURUSD_15;2022.01.21 10:00;1.13357;1.13391;1.13308;1.13372;1.13287;1.13274;1.13238;0.00007;-1409400.73840;0.00105;0.00060;-0.00019;0.00064;0.53803;0.08040;0.00000;1.13315;0.09529;-0.00972;2.12546;1.13235;0.00005;0.00005;-119805.00000;1.13247;63.11871;0.15622;0.00032;-4.86858
