Symbol;date time;open;high;low;close;close5;close10;close15;AC;AD;AO;ATR;BEP;BUP;DMK;FORCE;FRACTAL;ICHIMOKU;BWMFI;Momentum_GAP;MA;OsMA;MACD_GAP;OBV;SAR;RSI;RVI;STDDEV;Stochastic_GAP;WPR
USDJPY_1;2022.02.21 11:39;114.83700;114.84300;114.81200;114.82400;114.85800;114.86000;114.86100;-0.01147;18967.16942;-0.01376;0.01314;-0.03609;-0.00509;0.27619;-0.13138;0.00000;114.84600;0.50820;-0.00087;-2.74012;114.85442;-0.00332;-0.00484;10042.00000;114.87461;34.27084;-0.05255;0.00990;-27.89317
USDJPY_1;2022.02.21 11:40;114.82300;114.82300;114.80800;114.81700;114.85100;114.85500;114.86000;-0.01266;18971.56942;-0.02019;0.01364;-0.03565;-0.02065;0.30526;-0.04231;0.00000;114.84400;0.68182;-0.01306;-0.77888;114.85558;-0.00496;-0.00613;10020.00000;114.86961;31.75730;-0.27524;0.02057;5.32657
USDJPY_1;2022.02.21 11:41;114.81900;114.82200;114.81800;114.82100;114.85000;114.86400;114.85200;-0.01155;18979.06942;-0.02486;0.01293;-0.02241;-0.01841;0.23256;-0.04500;0.00000;114.84400;0.26667;-0.01480;6.35854;114.85711;-0.00610;-0.00631;10035.00000;114.86345;34.70438;-0.31330;0.02110;5.15214
USDJPY_1;2022.02.21 11:42;114.82000;114.82600;114.81300;114.82000;114.83600;114.87200;114.84200;-0.00923;18981.53096;-0.02806;0.01257;-0.02450;-0.01150;0.23656;-0.09846;0.00000;114.84150;0.40625;-0.00870;-7.02825;114.85776;-0.00639;-0.00595;10003.00000;114.85790;34.30551;-0.33579;0.01933;3.20719
USDJPY_1;2022.02.21 11:43;114.82100;114.82500;114.81500;114.82000;114.83600;114.87700;114.86000;-0.00673;18981.53096;-0.03013;0.01300;-0.02000;-0.01000;0.22727;-0.06462;0.00000;114.83400;0.41667;-0.00783;4.31674;114.85755;-0.00598;-0.00526;10003.00000;114.85291;34.30551;-0.36919;0.01453;3.96562
USDJPY_1;2022.02.21 11:44;114.82100;114.84100;114.82100;114.83900;114.82400;114.85800;114.86000;-0.00222;18995.13096;-0.02858;0.01386;-0.01457;0.00543;0.32673;-0.03269;0.00000;114.83000;1.17647;-0.00957;5.19471;114.85693;-0.00525;-0.00304;10020.00000;114.84842;47.58102;-0.36077;0.01216;14.88783
USDJPY_1;2022.02.21 11:45;114.84000;114.85200;114.84000;114.85200;114.81700;114.85100;114.85500;0.00481;19017.13096;-0.02189;0.01393;0.00208;0.01408;0.35849;-0.03385;0.00000;114.83000;0.54545;-0.01480;1.73607;114.85578;-0.00299;-0.00025;10042.00000;114.80800;54.37467;-0.27088;0.01315;22.81131
USDJPY_1;2022.02.21 11:46;114.85300;114.85600;114.84900;114.85300;114.82100;114.85000;114.86400;0.00972;19018.70239;-0.01501;0.01379;0.00893;0.01593;0.33981;-0.02031;0.00000;114.83200;0.63636;-0.00522;-0.42652;114.85433;-0.00019;0.00187;10053.00000;114.80888;54.85931;-0.14168;0.01478;20.76263
USDJPY_1;2022.02.21 11:47;114.85200;114.86600;114.84900;114.86600;114.82000;114.83600;114.87200;0.01349;19037.70239;-0.00704;0.01436;0.00522;0.02222;0.45918;0.01169;114.86600;114.83700;0.89474;-0.00784;1.87697;114.85227;0.00180;0.00428;10072.00000;114.81076;60.70321;-0.01400;0.01887;7.73368
USDJPY_1;2022.02.21 11:48;114.86500;114.86500;114.84900;114.86400;114.82000;114.83600;114.87700;0.01503;19063.95239;0.00065;0.01407;0.00234;0.01834;0.48913;0.03000;0.00000;114.83700;0.53333;0.00871;0.39451;114.84944;0.00412;0.00561;10042.00000;114.81408;59.42853;0.07746;0.02119;-0.19693
USDJPY_1;2022.02.21 11:49;114.86300;114.86500;114.86300;114.86400;114.83900;114.82400;114.85800;0.01448;19063.95239;0.00728;0.01350;0.01386;0.01586;0.50562;0.00323;0.00000;114.83950;0.66667;0.02090;2.63704;114.84718;0.00538;0.00617;10042.00000;114.81719;59.42853;0.16310;0.02154;-0.23487
USDJPY_1;2022.02.21 11:50;114.86200;114.86200;114.85100;114.85300;114.85200;114.81700;114.85100;0.01048;19056.31603;0.00957;0.01407;0.00131;0.01231;0.51136;0.01569;0.00000;114.83950;0.91667;0.01655;-0.55775;114.84505;0.00584;0.00537;10030.00000;114.82012;52.40873;0.24262;0.01885;-10.58685
