Symbol;date time;open;high;low;close;close5;close10;close15;AC;AD;AO;ATR;BEP;BUP;DMK;FORCE;FRACTAL;ICHIMOKU;BWMFI;Momentum_GAP;MA;OsMA;MACD_GAP;OBV;SAR;RSI;RVI;STDDEV;Stochastic_GAP;WPR
XAUUSD_15;2022.06.03 15:30;1859.29000;1861.50000;1857.75000;1860.05000;1860.78000;1866.74000;1866.13000;0.83641;2255130.29329;-2.82394;3.76429;-4.01705;-0.26705;0.30808;-737.63308;0.00000;1861.32500;2.54582;-0.04492;-4.52071;1865.58706;-0.13633;-0.07152;-628913.00000;1857.09422;40.58207;-0.26110;5.34667;3.88408
XAUUSD_15;2022.06.03 15:45;1860.05000;1860.42000;1857.72000;1857.79000;1860.77000;1863.58000;1866.52000;0.26018;2253946.05625;-3.06550;3.85429;-3.47890;-0.77890;0.28771;-735.94923;0.00000;1861.20500;2.16173;0.05238;-1.24469;1865.11536;-0.06560;-0.18572;-630162.00000;1857.25634;35.86608;-0.12381;1.72610;-21.11748
XAUUSD_15;2022.06.03 16:00;1857.79000;1858.04000;1855.17000;1856.45000;1863.26000;1858.76000;1866.56000;-0.62794;2253791.16426;-3.84006;3.87071;-5.35048;-2.48048;0.27629;-814.07077;0.00000;1860.18500;2.00139;-0.04050;-1.28296;1864.64956;-0.18112;-0.36323;-631596.00000;1865.20000;33.38857;-0.12849;1.94068;-6.11203
XAUUSD_15;2022.06.03 16:15;1856.45000;1856.45000;1851.91000;1853.07000;1862.27000;1858.34000;1865.45000;-1.75014;2253149.61360;-5.33506;4.02786;-7.54613;-3.00613;0.19981;-1379.61846;0.00000;1858.55500;3.46037;0.07678;-0.70593;1864.34652;-0.35971;-0.70566;-632908.00000;1864.99940;28.11333;-0.12054;2.89731;-3.16303
XAUUSD_15;2022.06.03 16:30;1853.07000;1854.04000;1852.25000;1852.65000;1859.29000;1860.08000;1863.83000;-2.22638;2252565.56891;-6.54912;3.93214;-6.23382;-4.44382;0.20968;-887.85231;0.00000;1858.55500;1.69508;0.33242;-3.93802;1864.13179;-0.70515;-0.92734;-633964.00000;1864.47582;27.53124;-0.12932;3.59736;-0.90392
XAUUSD_15;2022.06.03 16:45;1852.65000;1853.53000;1851.70000;1852.01000;1860.05000;1860.78000;1866.74000;-2.29189;2251901.72192;-7.56229;3.75643;-5.85899;-4.02899;0.28261;-521.30769;0.00000;1858.45000;1.82271;0.41602;0.23362;1863.97396;-0.92921;-1.06387;-634968.00000;1863.97319;26.62654;-0.17458;4.05138;-1.36307
XAUUSD_15;2022.06.03 17:00;1852.00000;1852.04000;1848.87000;1849.81000;1857.79000;1860.77000;1863.58000;-2.40422;2251419.49794;-8.82691;3.33071;-7.58199;-4.41199;0.23820;-777.54231;0.00000;1857.03500;2.67511;0.34312;4.60512;1863.93404;-1.06775;-1.21499;-636153.00000;1863.23680;23.73876;-0.24041;4.57877;-1.11773
XAUUSD_15;2022.06.03 17:15;1849.79000;1850.89000;1848.19000;1850.86000;1856.45000;1863.26000;1858.76000;-2.15643;2252467.67572;-9.76388;3.26714;-7.46314;-4.76314;0.23520;-760.29538;0.00000;1855.62500;2.51866;0.30801;2.62342;1863.71257;-1.21961;-1.13466;-635081.00000;1862.08746;27.76543;-0.30423;4.18444;5.07918
XAUUSD_15;2022.06.03 17:30;1850.87000;1851.24000;1848.65000;1849.03000;1853.07000;1862.27000;1858.34000;-1.58815;2251798.55989;-10.16074;3.18786;-6.05697;-3.46697;0.20103;-855.94231;0.00000;1854.84500;2.73495;0.24929;-7.83095;1863.39814;-1.13740;-1.11383;-636028.00000;1860.69771;25.26189;-0.36434;3.83231;5.33272
XAUUSD_15;2022.06.03 17:45;1849.03000;1851.08000;1849.01000;1850.96000;1852.65000;1859.29000;1860.08000;-0.99359;2252460.71931;-10.32044;3.14571;-5.16169;-3.09169;0.13462;-565.20692;0.00000;1854.30500;2.76368;0.03038;-2.28242;1863.06521;-1.11587;-0.85028;-635279.00000;1859.44694;32.20478;-0.38891;3.46461;10.15676
